typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3267694346","false","-1","N/A",,"false","3267694346","false",,"false","696646753",,"696646753","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","32","ARG","Argentina","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1776082261","false","-1","N/A",,"false","1776082261","false",,"false","371690289",,"371690289","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1331411404","false","-1","N/A",,"false","1331411404","false",,"false","276961519",,"276961519","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","-1","N/A",,"false","20000","false",,"false","51100",,"51100","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","-1","N/A",,"false","10","false",,"false","40",,"40","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","458","MYS","Malaysia","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","144707","false","-1","N/A",,"false","144707","false",,"false","61214",,"61214","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","600","PRY","Paraguay","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15946232","false","-1","N/A",,"false","15946232","false",,"false","3135191",,"3135191","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","596732","false","-1","N/A",,"false","596732","false",,"false","2521886",,"2521886","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","96892755","false","-1","N/A",,"false","96892755","false",,"false","24234538",,"24234538","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1030850","false","-1","N/A",,"false","1030850","false",,"false","292092",,"292092","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","710","ZAF","South Africa","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","147170","false","-1","N/A",,"false","147170","false",,"false","101577",,"101577","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11590332","false","-1","N/A",,"false","11590332","false",,"false","9057306",,"9057306","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","842","USA","USA","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33831893","false","-1","N/A",,"false","33831893","false",,"false","8540001",,"8540001","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","861601001","false","-1","N/A",,"false","861601001","false",,"false","351602090",,"351602090","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","104","MMR","Myanmar","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8775000","false","-1","N/A",,"false","8775000","false",,"false","2732250",,"2732250","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","116","KHM","Cambodia","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000000","false","-1","N/A",,"false","1000000","false",,"false","402000",,"402000","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","479880","false","-1","N/A",,"false","479880","false",,"false","1631016",,"1631016","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80000","false","-1","N/A",,"false","80000","false",,"false","145533",,"145533","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","458","MYS","Malaysia","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","825000","false","-1","N/A",,"false","825000","false",,"false","231885",,"231885","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","586","PAK","Pakistan","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","180099500","false","-1","N/A",,"false","180099500","false",,"false","62949167",,"62949167","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54187","false","-1","N/A",,"false","54187","false",,"false","503125",,"503125","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34167500","false","-1","N/A",,"false","34167500","false",,"false","13671676",,"13671676","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","509374194","false","-1","N/A",,"false","509374194","false",,"false","202563058",,"202563058","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126745740","false","-1","N/A",,"false","126745740","false",,"false","66772380",,"66772380","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1139694454","false","-1","N/A",,"false","1139694454","false",,"false","230922810",,"230922810","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","32","ARG","Argentina","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","307863745","false","-1","N/A",,"false","307863745","false",,"false","59874956",,"59874956","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","519246772","false","-1","N/A",,"false","519246772","false",,"false","103638693",,"103638693","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33","false","-1","N/A",,"false","33","false",,"false","174",,"174","0","true","false",
