Stock Code,Month,avg_close,total_volume
ITMG,2020-01,11915.217391304348,39568000
MDKA,2020-01,1171.7391304347825,1699612400
MRAT,2020-01,151.47826086956522,299200
DKFT,2020-02,117.26315789473684,118658100
KEEN,2020-02,398.8421052631579,45589800
PTRO,2020-02,1467.6315789473683,8512200
ASDM,2020-03,974.5,2700
BBYB,2020-03,275.5,406800
BPTR,2020-03,87.8,220000
WOOD,2020-03,350.0,96224300
AYLS,2020-04,50.23809523809524,44012100
EMDE,2020-04,198.66666666666666,121300
FIRE,2020-04,125.61904761904762,57557400
LSIP,2020-04,749.047619047619,372630900
POLA,2020-04,59.666666666666664,6383600
JECC,2020-05,6950.0,200
PNIN,2020-05,796.6666666666666,2409300
PRDA,2020-05,3196.6666666666665,1127600
ASII,2020-01,6900.0,584486200
BISI,2020-01,1027.1739130434783,2270800
BRMS,2020-01,51.26086956521739,650767200
EPMT,2020-01,2010.2173913043478,436200
GGRP,2020-01,431.6521739130435,815500
IIKP,2020-01,50.0,40500
SHID,2020-01,2956.086956521739,2699400
TPIA,2020-01,9526.08695652174,138921900
BTPS,2020-02,4378.421052631579,119227300
MFIN,2020-02,1282.1052631578948,1676000
MINA,2020-02,129.8421052631579,132930100
ADHI,2020-03,572.3,321512900
AGII,2020-03,481.85,2597300
ASGR,2020-03,800.75,2649700
DNET,2020-03,3352.0,605300
SAFE,2020-03,196.65,4505400
TRST,2020-03,363.1,1878800
VRNA,2020-03,117.9,1900
BOLT,2020-04,745.7142857142857,100
MREI,2020-05,6746.666666666667,1300
PLIN,2020-05,2246.0,115300
TPMA,2020-05,228.4,28200
PCAR,2020-01,421.69565217391306,787800
POLU,2020-01,2144.5652173913045,73800
AISA,2020-02,168.0,0
ATIC,2020-02,649.7368421052631,16000
CINT,2020-02,271.89473684210526,1486200
ESIP,2020-02,158.89473684210526,7309100
ETWA,2020-02,55.10526315789474,2891400
MAIN,2020-02,818.1578947368421,46372300
ENRG,2020-03,50.0,95365700
KINO,2020-03,2593.5,55276700
POSA,2020-03,50.0,1615500
KAEF,2020-04,1301.4285714285713,380141200
SOCI,2020-04,115.9047619047619,497995400
YELO,2020-04,50.0,1040900
DEWA,2020-05,50.0,146000
WOOD,2020-05,342.6666666666667,628349900
BNBA,2020-01,316.95652173913044,4480200
HRME,2020-01,992.6086956521739,632589400
BEKS,2020-02,50.0,486400
BMAS,2020-02,227.47368421052633,380800
PCAR,2020-02,255.47368421052633,53500
PUDP,2020-02,291.36842105263156,12900
CINT,2020-03,273.1,1341400
DAYA,2020-03,298.6,19600
TKIM,2020-03,5462.75,77188900
AIMS,2020-04,180.0,0
DART,2020-04,283.6190476190476,186800
DLTA,2020-04,4751.428571428572,337300
HEXA,2020-04,2360.9523809523807,10416600
KREN,2020-04,207.95238095238096,445464500
MDIA,2020-04,50.0,67600
PTRO,2020-04,1320.2380952380952,22013800
PANR,2020-05,74.06666666666666,150798200
REAL,2020-05,53.4,1330130100
ROTI,2020-05,1211.3333333333333,21333200
TFAS,2020-05,155.4,347500
ALKA,2020-01,390.95652173913044,79700
BJTM,2020-01,656.9565217391304,326599400
SMMT,2020-01,114.8695652173913,5762500
ANTM,2020-02,681.578947368421,1176485700
DFAM,2020-02,389.57894736842104,29085500
HRTA,2020-02,257.89473684210526,11542800
JRPT,2020-03,412.8,136809300
META,2020-03,141.4,10142100
ULTJ,2020-03,1380.25,48514000
BAPI,2020-04,50.0,317900
CSIS,2020-04,50.04761904761905,9587700
ESTA,2020-04,112.38095238095238,264521800
PBID,2020-04,894.5238095238095,143000
TIRT,2020-04,55.23809523809524,5341600
TOWR,2020-04,801.1904761904761,2056787600
BMTR,2020-05,198.73333333333332,318578700
BOLA,2020-05,150.4,1185900
KINO,2020-05,2634.6666666666665,26049700
MYRXP,2020-05,50.0,0
PALM,2020-05,183.2,107500
PKPK,2020-05,50.0,690800
PNBS,2020-05,50.0,460700
MLPT,2020-05,439.53333333333336,1637300
SSMS,2020-05,897.0,8018300
GMFI,2020-02,96.63157894736842,113565900
PNIN,2020-02,1006.578947368421,2262600
RODA,2020-02,54.94736842105263,50034700
BBTN,2020-03,1217.25,804944000
BIKA,2020-03,178.2,17400
EPMT,2020-03,2143.0,39800
ESTI,2020-03,50.0,310900
LPKR,2020-03,180.85,988423800
SRIL,2020-03,162.15,1503692800
WEGE,2020-03,168.55,783366700
BIRD,2020-04,986.4285714285714,19672000
IGAR,2020-04,229.42857142857142,2138800
PYFA,2020-04,192.66666666666666,1631700
RANC,2020-04,316.1904761904762,7474400
TSPC,2020-04,1155.4761904761904,1350100
BEEF,2020-05,215.4,33465900
BOLT,2020-01,840.0,3068700
SATU,2020-01,67.52173913043478,12929300
SMRU,2020-01,50.0,2405700
BACA,2020-02,323.05263157894734,379900
CPIN,2020-02,6323.684210526316,99238700
GGRM,2020-02,55010.52631578947,18379400
GOLD,2020-02,219.1578947368421,256500
